"id","utterance","rule_based","gpt","claude","consensus","pattern","next_student_move"
"0","Peyton, share your thinking.","A","C","A","A","majority_2_1","MakingClaim"
"1","What part of a whole fruit bar will he give to his brother?","A","A","A","A","unanimous",""
"2","Mikel, will you go up and show us how you got your answer, please?","B","B","B","B","unanimous","ProvidingEvidence"
"3","What does it do?","A","A","A","A","unanimous","MakingClaim"
"4","29, where does that one get stacked in?","A","A","A","A","unanimous",""
"5","Carter, where have you heard that break apart decomposing before?","A","C","C","C","majority_2_1","MakingClaim"
"6","When you look at these, what's different?","A","A","A","A","unanimous","None"
"7","How many cakes that are 30 yen cheaper do you need to buy in order to make up the 210 yen shortage?","A","A","A","A","unanimous",""
"8","What does 'represent' mean?","A","A","A","A","unanimous",""
"9","Tell me what you just did again.","B","B","B","B","unanimous","MakingClaim"
"10","Would anybody like to share their answer and explain?","B","C","B","B","majority_2_1","None"
"11","Then you are going to discuss at your table group what a good graph would be, what would a line plot be?","A","C","B","B","split_1_1_1",""
"12","How can I check that using what you have there?","A","B","B","B","majority_2_1","ProvidingEvidence"
"13","What's the right answer?","A","A","A","A","unanimous","MakingClaim"
"14","What is your strategy that you're using here, Anna?","B","B","B","B","unanimous","MakingClaim"
"15","How well could you rearrange these using the same denominator?","A","C","C","C","majority_2_1",""
"16","How many dollars is that?","A","A","A","A","unanimous","None"
"17","15. factor pairs for 15 Harper.","A","A","A","A","unanimous","MakingClaim"
"18","Mr Asher which one is larger?","A","A","A","A","unanimous","MakingClaim"
"19","How many teaspoons of flavoring will he need for three batches of his new flavor?","A","A","A","A","unanimous",""
"20","that you take one- when I call your name, you may select one- one equation and then you may explain to me why it belongs to that line.","C","C","B","C","majority_2_1","None"
"21","What was our initial shape?","A","A","A","A","unanimous","MakingClaim"
"22","How do you know?","C","C","C","C","unanimous",""
"23","Does work or doesn’t work?","A","A","A","A","unanimous","MakingClaim"
"24","What do you notice about the fractions in the gray shaded boxes?","A","A","A","A","unanimous","MakingClaim"
"25","If 10% is 9, what number would be 100%?","A","A","A","A","unanimous","MakingClaim"
"26","What's 30 x 5?","A","A","A","A","unanimous","MakingClaim"
"27","Carrie, what do you think?","A","A","B","A","majority_2_1","MakingClaim"
"28","Who could tell me the smallest fraction?","A","A","A","A","unanimous","MakingClaim"
"29","What can I look at to help me discover, what is my out, what do I notice?","A","B","B","B","majority_2_1",""
"30","Piper, what do you think?","A","C","A","A","majority_2_1","MakingClaim"
"31","What do you think?","A","C","C","C","majority_2_1",""
"32","Who can share, what do we need to have an understanding of in order to make a good conjecture, and I'm giving you a big hint right now as I do that?","A","C","C","C","majority_2_1","MakingClaim"
"33","Seven times two is?","A","A","A","A","unanimous","MakingClaim"
"34","River, did you have an idea of another use that wasn't adding and subtracting?","A","C","B","B","split_1_1_1","MakingClaim"
"35","If you have two of these, it's equal to that, so one what?","A","A","A","A","unanimous","MakingClaim"
"36","You have already done the next one but... we do times one third, then we will find?","A","A","B","A","majority_2_1","MakingClaim"
"37","What did you have down here?","A","A","A","A","unanimous",""
"38","How does that pattern help you understand the base 10 in the easiest form?","A","C","C","C","majority_2_1",""
"39","And I'd like you to type your story, what story is this graph telling you?","A","C","C","C","majority_2_1",""
"40","What do I have to look at?","A","C","B","B","split_1_1_1","None"
"41","To be specific, what would you do?","B","B","B","B","unanimous","MakingClaim"
"42","What is the need to simplify or reduce?","A","C","C","C","majority_2_1","None"
"43","How about the school to the pool entrance?","A","A","A","A","unanimous","MakingClaim"
"44","What do you think?","A","C","C","C","majority_2_1","None"
"45","What coordinate is the eight?","A","A","A","A","unanimous","MakingClaim"
"46","What would the probabilities look like that time?","A","C","B","B","split_1_1_1","None"
"47","What did I actually do?","A","B","B","B","majority_2_1",""
"48","So, what are you gonna do with that?","A","B","B","B","majority_2_1","MakingClaim"
"49","If one column is a 10th what is one square, Vicki?","A","A","A","A","unanimous","MakingClaim"
"50","Angelica, do you think GCF or LCM?","A","C","C","C","majority_2_1",""
"51","So, what do you see there?","A","C","B","B","split_1_1_1","None"
"52","Emanual, what did you do for your equation?","B","B","B","B","unanimous","None"
"53","If we look at just his first one, can you tell me-- Tell us about your picture.","B","C","B","B","majority_2_1","MakingClaim"
"54","But take care that- Let's look at your- what did you do before, explain it to me in words.","B","B","B","B","unanimous","MakingClaim"
"55","What's the rule for number two, Nate?","A","A","A","A","unanimous","None"
"56","So when it's zero, what would it visually look like?","A","C","C","C","majority_2_1",""
"57","We need to look at this left over piece and see what fraction of the part it is.","A","C","B","B","split_1_1_1","MakingClaim"
"58","If I could take the smartboard and flip it upside down, we're not having the bottom win, we're now going to have what?","A","C","C","C","majority_2_1","MakingClaim"
"59","OK, tell me about this.","A","B","B","B","majority_2_1","None"
"60","Anybody with me that has an idea of what I'm going to do for the other two sisters?","A","C","A","A","majority_2_1","ProvidingEvidence"
"61","What do we think for the sixth one?","A","A","A","A","unanimous","MakingClaim"
"62","Triangle A B C and triangle F E D. And number 10, which is the hypotenuse of triangle A B C?","A","A","A","A","unanimous",""
"63","How is it related to subtraT2ion, Michael?","A","C","C","C","majority_2_1","None"
"64","So if you have eight, what would you do?","B","B","B","B","unanimous","MakingClaim"
"65","6 and what equals 12?","A","A","A","A","unanimous","None"
"66","So when I say multiplication facts, when I tell you to practice your multiplication facts, what should you be practicing?","A","C","C","C","majority_2_1","MakingClaim"
"67","If I have a to the power of negative two, that equals one over a-","A","A","A","A","unanimous","MakingClaim"
"68","3/4 x 1/4 equals?","A","A","A","A","unanimous",""
"69","Median, how can we find median?","B","B","B","B","unanimous","MakingClaim"
"70","Negative, but in this one the number will be...","A","C","A","A","majority_2_1","MakingClaim"
"71","What's negative X times negative X times negative X going to be?","A","A","A","A","unanimous",""
"72","How do you ... could you show me that check?","B","B","B","B","unanimous","MakingClaim"
"73","Okay, Owen, can you share what you did?","A","B","B","B","majority_2_1","None"
"74","Logan, what do we know about volume?","A","C","A","A","majority_2_1","MakingClaim"
"75","Sixty and so what is the second share worth?","A","A","A","A","unanimous","MakingClaim"
"76","And what would that be?","A","A","A","A","unanimous","MakingClaim"
"77","Luke, what kind of connections do you see?","A","C","C","C","majority_2_1","MakingClaim"
"78","So if they need two teaspoons but we're making three recipes, what are we going to do?","A","B","B","B","majority_2_1","MakingClaim"
"79","Like I say that, what am I really talking about?","A","C","C","C","majority_2_1",""
"80","Whatever I do to the bottom--","A","A","A","A","unanimous","MakingClaim"
"81","How does the whole diagram look, the whole garden?","A","A","B","A","majority_2_1","MakingClaim"
"82","How can we model problem number one?","A","B","B","B","majority_2_1","ProvidingEvidence"
"83","Tell me what the Y that goes with it is.","B","A","A","A","majority_2_1",""
"84","If I ignore the  and I just look at that, how could I rewrite that?","A","B","B","B","majority_2_1","None"
"85","What good is a secret that doesn’t work?","A","C","C","C","majority_2_1","MakingClaim"
"86","What's 12 ÷ 6?","A","A","A","A","unanimous",""
"87","How many more lines am I going to need?","A","A","A","A","unanimous","MakingClaim"
"88","What are the probabilities of those things happening?","A","C","A","A","majority_2_1","MakingClaim"
"89","If I take my two eighths, what does it equal?","A","A","A","A","unanimous",""
"90","3 12 minus 3 =?","A","A","A","A","unanimous","MakingClaim"
"91","How many numbers did you have in your list if you listed them all out?","A","A","B","A","majority_2_1","MakingClaim"
"92","How many were left?","A","A","A","A","unanimous","MakingClaim"
"93","And, for example, in what kind- what situations does this become a straight line?","A","C","C","C","majority_2_1","None"
"94","The green triangle up there, which axis?","A","A","A","A","unanimous",""
"95","What do you sort of do to  imagine it in your heads to imagine the length?","A","C","B","B","split_1_1_1","MakingClaim"
"96","What do you mean?","A","C","C","C","majority_2_1","MakingClaim"
"97","What do you think we're going to do?","A","C","C","C","majority_2_1","None"
"98","I'd like you to talk at your teams about your multiples and your strategy for finding the multiples.","A","B","B","B","majority_2_1",""
"99","Alfie, what do you think?","A","C","A","A","majority_2_1","MakingClaim"
"100","So what is a fourth of three?","A","A","A","A","unanimous","MakingClaim"
"101","What is your estimate?","A","C","A","A","majority_2_1","MakingClaim"
"102","What do we think about, look at the arc, and whisper to your face partner again?","A","C","A","A","majority_2_1",""
"103","And the question I forgot to ask you in the very first poster that we did, is: How do we measure area?","A","C","C","C","majority_2_1",""
"104","Tell us how it is, what's the right answer?","B","A","A","A","majority_2_1","MakingClaim"
"105","So how many pieces of data do I now have on the right-hand side?","A","A","A","A","unanimous","MakingClaim"
"106","Can't you make one on th- this side?","A","C","A","A","majority_2_1","MakingClaim"
"107","Then this one is showing that I modified?","A","B","B","B","majority_2_1","MakingClaim"
"108","Is there a way we can find out how far away they are from one another using the ordered pairs?","A","C","C","C","majority_2_1","ProvidingEvidence"
"109","How do you know it's a line, ?","C","C","C","C","unanimous",""
"110","How much is it if you take off the brackets?","A","A","B","A","majority_2_1","MakingClaim"
"111","How did you get one and one quarter when  you called the brown rod two now?","B","C","C","C","majority_2_1",""
"112","What was the strategy we used yesterday to solve problems like number three?","B","B","A","B","majority_2_1","ProvidingEvidence"
"113","Everybody look and see, what are the keywords to help you see how to modify this?","A","C","B","B","split_1_1_1",""
"114","So he went on the roller coaster and he could have gone on the roller coaster how many times?","A","A","A","A","unanimous","MakingClaim"
"115","What do you need to do?","A","C","B","B","split_1_1_1","MakingClaim"
"116","Do you remember what that's called?","A","B","A","A","majority_2_1","MakingClaim"
"117","And Patrick, what kind of or what do we know about corresponding angles?","A","C","A","A","majority_2_1","MakingClaim"
"118","Good, so what'll my numerator be?","A","A","A","A","unanimous","MakingClaim"
"119","Then I had to exchange it for a--?","A","B","B","B","majority_2_1","MakingClaim"
"120","If I have to write a rule for subtracting decimals what is something the rule has to contain?","A","C","A","A","majority_2_1","MakingClaim"
"121","We have to use our math vocabulary, what's the math vocabulary I want to hear from you today?","A","C","A","A","majority_2_1","MakingClaim"
"122","David, what was one of your strategies?","A","B","B","B","majority_2_1","None"
"123","I’m hearing people whisper, what is it?","A","A","A","A","unanimous","MakingClaim"
"124","What is our answer?","A","A","A","A","unanimous","MakingClaim"
"125","What is this one closer to?","A","C","A","A","majority_2_1",""
"126","How much is that one worth?","A","A","A","A","unanimous","MakingClaim"
"127","Is there another number name for the  purple?","A","C","A","A","majority_2_1","MakingClaim"
"128","3^2 x 5. Who can take this one down for me?","A","A","A","A","unanimous","MakingClaim"
"129","When you answer these questions, what would make them good answers?","A","C","C","C","majority_2_1",""
"130","What does that mean?","A","C","C","C","majority_2_1","ProvidingEvidence"
"131","Okay, Maya, will you please explain your estimate, and then how you solved it?","C","B","B","B","majority_2_1","ProvidingEvidence"
"132","Subtraction is doing what?","A","C","C","C","majority_2_1","MakingClaim"
"133","Is it going to be more or less?","A","C","A","A","majority_2_1",""
"134","Remind me, what should you make sure you definitely use if you are still feeling like you add maybe a two on this?","A","B","B","B","majority_2_1","MakingClaim"
"135","Then, your answer would be what?","A","A","A","A","unanimous","None"
"136","Am I going to be closer to a half, m I going to be closer to one or am I going to be closer to about one and a half?","A","C","A","A","majority_2_1",""
