id,utterance,rule_based,gpt,claude,consensus,status,next_student_move,gpt_reason,claude_reason
0,"Peyton, share your thinking.",A,C,A,A,reverted,MakingClaim,"The teacher is asking another student to share their thinking, which requires considering what the student might say.",Teacher is calling on a student to share thinking without any prior student response to reason about; could be asked without any model of student understanding.
5,"Carter, where have you heard that break apart decomposing before?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking the student to recall prior knowledge, which requires considering the student's past experiences.","Teacher probes the student's prior knowledge and conceptual connections by asking where they've encountered the idea of decomposing before, requiring a model of what the student understands."
11,"Then you are going to discuss at your table group what a good graph would be, what would a line plot be?",A,C,B,B,corroborated,,"The teacher is asking students to discuss and evaluate what makes a good graph, which involves reasoning about data representation.","Teacher directs students to discuss what a good graph or line plot would be, which invites reasoning about representation choices but is framed as a general task direction rather than probing a specific student's thinking."
15,How well could you rearrange these using the same denominator?,A,C,C,C,corroborated,,"The teacher is asking about the ability to rearrange fractions, which involves understanding the concept of common denominators.","Teacher asks how well the student could rearrange fractions using the same denominator, probing conceptual understanding of common denominators and fraction comparison."
30,"Piper, what do you think?",A,C,A,A,reverted,MakingClaim,"Teacher asks for Piper's opinion on an equation, indicating a need to understand her reasoning.","Teacher calls on a specific student for an equation after establishing a pattern, asking for a factual/procedural answer."
31,What do you think?,A,C,C,C,corroborated,,"Teacher asks for a student's opinion on a word pattern, indicating a need to understand their reasoning.","Teacher asks students to reason about what similarity in word structure implies, probing conceptual understanding of a linguistic/mathematical pattern."
32,"Who can share, what do we need to have an understanding of in order to make a good conjecture, and I'm giving you a big hint right now as I do that?",A,C,C,C,corroborated,MakingClaim,"Teacher asks students to share their understanding of making a conjecture, requiring reasoning about their conceptual understanding.","Teacher asks students to identify the conceptual prerequisite for making a good conjecture, probing understanding of the mathematical reasoning process."
34,"River, did you have an idea of another use that wasn't adding and subtracting?",A,C,B,B,corroborated,MakingClaim,"Teacher asks River for an idea about a different use, indicating a need to understand their reasoning.","Teacher asks River to share a use-case not involving adding/subtracting, attending to what the student previously said but probing for a different application of the concept."
38,How does that pattern help you understand the base 10 in the easiest form?,A,C,C,C,corroborated,,"Teacher asks how a pattern helps understand base 10, requiring reasoning about the student's conceptual understanding.","Teacher asks students to connect the observed pattern to the conceptual understanding of base 10, requiring reasoning about what students understand about place value."
39,"And I'd like you to type your story, what story is this graph telling you?",A,C,C,C,corroborated,,"Teacher asks students to interpret a graph, requiring reasoning about their understanding of the graph's story.","Teacher asks students to interpret a graph by constructing a narrative, requiring them to connect mathematical representations to conceptual meaning."
40,What do I have to look at?,A,C,B,B,corroborated,,"The teacher is asking the student to identify what they should focus on, which requires understanding the student's current focus or confusion.","Teacher asks students what they need to examine to find the answer, prompting procedural direction without probing conceptual understanding."
42,What is the need to simplify or reduce?,A,C,C,C,corroborated,,"The teacher is probing the student's understanding of the concept of simplification, which requires reasoning about the student's conceptual grasp.","Teacher probes the conceptual justification for simplification, requiring a model of what students understand about why simplifying matters."
44,What do you think?,A,C,C,C,corroborated,,"The teacher is asking for the student's opinion on their own or another's solution, which requires understanding the student's confidence and reasoning.","Following explicit prompts about revising thinking, the teacher asks the student to evaluate their own position relative to a peer's, requiring deep reasoning about the student's conceptual stance."
46,What would the probabilities look like that time?,A,C,B,B,corroborated,,"The teacher is asking the student to consider probabilities in a new scenario, which requires understanding the student's grasp of probability concepts.","Teacher asks students to determine probabilities for an uneven two-game series, which is a procedural/computational question following the teacher's own setup, not deeply probing student thinking."
50,"Angelica, do you think GCF or LCM?",A,C,C,C,corroborated,,"The teacher is asking the student to choose between GCF or LCM, which requires understanding the student's reasoning or decision-making process.","Teacher asks the student to choose between GCF and LCM, requiring the student to apply conceptual understanding to a classification decision."
51,"So, what do you see there?",A,C,B,B,corroborated,,"The teacher is asking the student to describe what they observe, which involves understanding the student's perception or focus.","Teacher asks the student to describe what they observe, attending to what the student notices procedurally or visually without deeply probing reasoning."
56,"So when it's zero, what would it visually look like?",A,C,C,C,corroborated,,"The teacher is asking the student to visualize a concept, which involves understanding the student's conceptual grasp.","Teacher asks the student to reason about what a mathematical object looks like at a boundary condition (zero), probing conceptual understanding of the relationship between the variable and the shape."
57,We need to look at this left over piece and see what fraction of the part it is.,A,C,B,B,corroborated,MakingClaim,"The teacher is asking the student to analyze a fraction, which involves understanding the student's conceptual understanding of fractions.","Teacher directs students' attention to a procedure they need to carry out (finding the fractional part of the remainder), without yet probing their reasoning."
58,"If I could take the smartboard and flip it upside down, we're not having the bottom win, we're now going to have what?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking the student to consider a hypothetical scenario, which involves understanding the student's conceptual understanding.","Teacher extends the conceptual analysis by flipping the scenario and asking what the outcome would be, probing whether students understand the underlying asymmetry in the argument."
60,Anybody with me that has an idea of what I'm going to do for the other two sisters?,A,C,A,A,reverted,ProvidingEvidence,"The teacher is asking students to predict the next step, which requires considering what students might understand about the pattern or process.",Teacher is soliciting a prediction about a procedural next step without probing any particular student's understanding.
63,"How is it related to subtraT2ion, Michael?",A,C,C,C,corroborated,,"The teacher is asking how something is related to subtraction, which requires understanding the student's conceptual connections.","Teacher asks Michael to explain a conceptual relationship (how something relates to subtraction), requiring a model of what the student understands."
66,"So when I say multiplication facts, when I tell you to practice your multiplication facts, what should you be practicing?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking the student to reflect on what practicing multiplication facts entails, which involves understanding the student's interpretation.","Teacher probes what the student conceptually understands 'multiplication facts' to mean in practice, requiring a model of the student's understanding."
70,"Negative, but in this one the number will be...",A,C,A,A,reverted,MakingClaim,"The teacher is prompting the student to consider the implications of an even exponent, which involves understanding the student's reasoning.","Teacher completes a fill-in-the-blank following the student's correct answer about the negative case, expecting a single factual answer about the positive case."
74,"Logan, what do we know about volume?",A,C,A,A,reverted,MakingClaim,"The teacher is asking for a conceptual understanding of volume, which involves probing the student's understanding.","Teacher asks Logan to recall a concept (volume), which could probe understanding, but the phrasing 'what do we know' is an open factual recall without context of a specific student idea."
77,"Luke, what kind of connections do you see?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking the student to articulate connections, which involves understanding the student's reasoning.","Teacher invites Luke to articulate the connections he perceives, probing his conceptual thinking about relationships between numbers."
79,"Like I say that, what am I really talking about?",A,C,C,C,corroborated,,"The teacher is asking for a conceptual understanding of absolute value, which involves probing the student's understanding.","Teacher asks students to articulate the conceptual meaning of absolute value in their own words, probing understanding rather than just requesting a fact."
85,What good is a secret that doesn’t work?,A,C,C,C,corroborated,MakingClaim,"The teacher is questioning the utility of a method, which requires understanding the student's reasoning about its effectiveness.","Teacher challenges the student to justify the value of a pattern or 'secret' that doesn't always work, probing the conceptual utility and requiring reasoning about what the student understands about mathematical generalizations."
88,What are the probabilities of those things happening?,A,C,A,A,reverted,MakingClaim,"The teacher is asking about probabilities, which requires understanding the student's grasp of probability concepts.","Teacher asks students to calculate specific probabilities for listed outcomes, which is a procedural/factual request following the enumeration of scenarios."
93,"And, for example, in what kind- what situations does this become a straight line?",A,C,C,C,corroborated,,"The teacher is asking about conditions for a straight line, which requires understanding the student's grasp of the concept.","Teacher asks the student to identify situations that produce a straight line graph, probing conceptual understanding of when a function is linear and requiring a model of what the student understands."
95,What do you sort of do to  imagine it in your heads to imagine the length?,A,C,B,B,corroborated,MakingClaim,"The teacher is asking about a mental process, which requires understanding the student's approach to visualization.","Teacher asks students to articulate their mental process for imagining a length, which attends to their procedure/strategy but is essentially a restatement of the prior question without deeper conceptual probing."
96,What do you mean?,A,C,C,C,corroborated,MakingClaim,"The teacher is asking for clarification of a term used by the student, which requires understanding the student's thinking.","Teacher asks the student to clarify what they mean by 'looking for fourths,' probing the student's conceptual understanding of their own strategy and requiring a model of what the student understands."
97,What do you think we're going to do?,A,C,C,C,corroborated,,"The teacher is prompting the student to predict the next step, which requires understanding the student's grasp of the problem.","Teacher asks students to predict what they will do next in solving a problem, inviting them to reason about mathematical process and purpose rather than simply recalling a fact."
99,"Alfie, what do you think?",A,C,A,A,reverted,MakingClaim,"The teacher is asking for the student's opinion, which requires understanding the student's reasoning about the problem.","Teacher calls on a student to give their answer about 50%, which is a straightforward factual request requiring no reasoning about the student's understanding."
101,What is your estimate?,A,C,A,A,reverted,MakingClaim,"Teacher asks for the student's estimate, which requires considering the student's thought process about the problem.","Teacher asks for a specific numerical estimate after the student said 'closer to a half'; this is a factual request for the student's answer, not a probe into reasoning."
102,"What do we think about, look at the arc, and whisper to your face partner again?",A,C,A,A,reverted,,"Teacher prompts students to think and discuss, indicating a focus on their reasoning about the arc.","Teacher directs students to look at the arc and discuss with a partner, prompting a procedural step without probing any individual student's understanding."
103,"And the question I forgot to ask you in the very first poster that we did, is: How do we measure area?",A,C,C,C,corroborated,,"Teacher asks about the concept of measuring area, probing the student's understanding of the concept.","Teacher asks how area is measured, a conceptual question about what area means and how it is quantified, requiring the teacher to consider what students understand about the concept."
106,Can't you make one on th- this side?,A,C,A,A,reverted,MakingClaim,"Teacher prompts the student to consider an alternative, indicating some reasoning about the student's understanding.","Teacher asks whether a construction is possible on a particular side, prompting the student to check a specific condition without probing deeper reasoning."
108,Is there a way we can find out how far away they are from one another using the ordered pairs?,A,C,C,C,corroborated,ProvidingEvidence,"Teacher asks about a method to find distance, probing the student's understanding of ordered pairs.","Teacher asks whether ordered pairs can be used to find the distance between two points, inviting students to connect a conceptual tool to a mathematical relationship."
113,"Everybody look and see, what are the keywords to help you see how to modify this?",A,C,B,B,corroborated,,"Teacher asks students to identify keywords, focusing on their understanding of the problem context.","Teacher directs students to identify keywords to determine how to modify the problem, attending to their procedure for parsing the problem rather than probing deeper conceptual understanding."
115,What do you need to do?,A,C,B,B,corroborated,MakingClaim,"Teacher asks what the student needs to do, prompting them to consider their own understanding and next steps.","Teacher prompts the student to identify what steps are required after the student says she doesn't know, asking her to articulate the procedure she should follow."
117,"And Patrick, what kind of or what do we know about corresponding angles?",A,C,A,A,reverted,MakingClaim,"Teacher asks about properties of corresponding angles, probing the student's understanding of geometric concepts.","Teacher asks Patrick to recall what is known about corresponding angles, which is a factual definitional question not requiring the teacher to model the student's thinking."
120,If I have to write a rule for subtracting decimals what is something the rule has to contain?,A,C,A,A,reverted,MakingClaim,"The teacher is asking for a component of a rule, which requires understanding what the student knows about rules for subtracting decimals.",Teacher asks for a component of a rule for subtracting decimals; this is a factual/recall question that does not require modeling student thinking.
121,"We have to use our math vocabulary, what's the math vocabulary I want to hear from you today?",A,C,A,A,reverted,MakingClaim,"The teacher is prompting the student to use specific vocabulary, which requires understanding what the student knows about math vocabulary.","Teacher asks for math vocabulary to use, which is a factual recall question about terminology rather than probing the student's conceptual understanding."
125,What is this one closer to?,A,C,A,A,reverted,,"The teacher is asking for a comparison, which requires understanding the student's reasoning about proximity.","Teacher asks which benchmark a fraction is closer to, which is a factual estimation question requiring no deep model of student thinking."
127,Is there another number name for the  purple?,A,C,A,A,reverted,MakingClaim,"The teacher is asking for an alternative name, which requires understanding the student's knowledge of equivalent fractions.","Teacher asks if there is another name for the fraction represented, checking for equivalent fraction knowledge without probing reasoning."
129,"When you answer these questions, what would make them good answers?",A,C,C,C,corroborated,,"The teacher is asking for criteria for good answers, which requires understanding the student's reasoning about quality.","Teacher asks students what would constitute a good answer, prompting reflection on quality of mathematical explanations and requiring some reasoning about student understanding of mathematical communication."
130,What does that mean?,A,C,C,C,corroborated,ProvidingEvidence,"The teacher is asking for an explanation of a term, which requires understanding the student's interpretation of real-world contexts.","Teacher asks a student to clarify or define what 'real-world context or situation' means, probing conceptual understanding of the term just introduced."
132,Subtraction is doing what?,A,C,C,C,corroborated,MakingClaim,"The teacher is asking for a conceptual understanding of subtraction, which requires understanding the student's grasp of the operation.","Following a discussion about subtraction vs. addition of fractions, teacher asks what subtraction means conceptually, probing understanding of the operation."
133,Is it going to be more or less?,A,C,A,A,reverted,,"The teacher is asking for a comparison, which requires understanding the student's reasoning about quantity.","Teacher asks a binary factual comparison question (more or less) about the product relative to factors, which has a single expected answer."
136,"Am I going to be closer to a half, m I going to be closer to one or am I going to be closer to about one and a half?",A,C,A,A,reverted,,"The teacher is asking for a comparison, which requires understanding the student's reasoning about proximity.","Teacher asks which benchmark the sum is closest to, which is a factual estimation question with an expected answer."
139,"When we convert, when do you ever have to convert to something?",A,C,C,C,corroborated,,"The teacher is asking for a conceptual understanding of conversion, which requires understanding the student's grasp of when conversion is necessary.","Teacher invites students to connect the concept of conversion to prior knowledge and real-world contexts, requiring reasoning about what students understand about conversion more broadly."
141,How do those relate to these points?,A,C,B,B,corroborated,,"The teacher is asking how the given points relate, which requires understanding the student's interpretation of the relationship.","Teacher asks how newly identified points relate to previously plotted points, requiring attention to what students have done procedurally but not probing deeper reasoning."
142,Anything else that people think for this?,A,C,A,A,reverted,MakingClaim,"The teacher is inviting additional thoughts, which could involve reasoning about student understanding of the problem.","Teacher invites additional student contributions about requirements for accuracy and size, which is an open solicitation not requiring modeling of any specific student's thinking."
146,"But when we're dealing with fractions, they can be because what matters is the size of the...",A,C,C,C,corroborated,MakingClaim,"The teacher is explaining a concept about fractions, which involves reasoning about student understanding of size and equivalence.","Teacher probes the conceptual understanding of why fractions can be equal when whole numbers cannot, requiring a model of what students understand about fraction size and equivalence."
152,"Let’s take in the first column, what do those numbers represent?",A,C,C,C,corroborated,,"The teacher is asking for an explanation of what the numbers represent, which requires understanding the student's interpretation.","Teacher asks what numbers in the first column represent, requiring students to articulate the meaning of the values, which probes conceptual understanding of the table structure."
155,"And then what could I do with it, if I sawed it in half?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking the student to think about the implications of an action, which requires reasoning about student understanding.","Teacher asks the student to continue reasoning about what could be done with the halved rod, probing conceptual thinking about part-whole relationships in context."
156,So what is the one in the orange juice mean compared to the one and one fourth in the soda water?,A,C,C,C,corroborated,MakingClaim,"The teacher is asking for a comparison of two quantities, which requires understanding the student's interpretation of the context.","Teacher probes the student's understanding of what the '1' means in different contexts (orange juice vs. one and one fourth), requiring a model of what the student understands about the meaning of the unit."
160,"The hardest part is the explaining part, so what is it that you're going to be explaining in the problem?",A,C,C,C,corroborated,,"Teacher prompts students to consider what they will need to explain, indicating a need to understand the student's approach to the problem.","Teacher asks students to identify what needs to be explained in the problem, requiring them to articulate their understanding of the task's conceptual demand."
171,What [unintelligible 00:39:33] might go into both of those?,A,C,A,A,reverted,,"Teacher prompts students to think about factors, indicating a need to understand their reasoning process.","Teacher asks students to identify a common factor, a factual question with a single expected answer in context."
176,"At the ends of the function, all the way to the left at negative infinity, and all the way at the right at positive infinity, what is the function doing?",A,C,C,C,corroborated,,"Teacher asks about the behavior of a function at infinity, requiring understanding of the student's conceptual grasp.","Teacher asks about end behavior of a function, requiring students to reason about a conceptual mathematical idea (limits/behavior at infinity), probing understanding."
179,"If you have an interpreter, what is that person doing?",A,C,C,C,corroborated,MakingClaim,"Teacher asks about the role of an interpreter, requiring understanding of the student's conceptual grasp of interpretation.","Teacher uses an analogy to prompt students to reason about the meaning of 'interpret,' probing conceptual understanding of the term."
185,What is that comma saying?,A,C,C,C,corroborated,MakingClaim,"The teacher is asking about the function of a comma in a number, which requires understanding its role in place value.","Teacher asks what the comma signifies in a number, probing the student's conceptual understanding of place value notation after a likely misreading."
186,"What I would do is start off with my rectangle to figure out what the right way is and then, how could you help Eli?",A,C,C,C,corroborated,,"The teacher is asking students to think about how to help Eli understand his mistake, which requires reasoning about Eli's understanding.","Teacher asks the student to identify Eli's error and explain how to help him, requiring the teacher to reason about what the student understands about the correct procedure and the misconception."
189,"No, what are you thinking?",A,C,C,C,corroborated,MakingClaim,"The teacher is asking Parker to elaborate on his thinking, which requires attending to his thought process.","Teacher follows up on a vague 'no' response by asking the student to elaborate on their thinking, probing the reasoning or understanding behind the student's response."
193,"Wyatt, what are you thinking?",A,C,C,C,corroborated,ProvidingEvidence,"The teacher is asking Wyatt to share his thinking, which requires attending to his thought process.","Teacher invites Wyatt to share his thinking about what is different about 5/8 across the problems, requiring the teacher to be interested in the student's reasoning and conceptual noticing."
196,When you hear how much more what do you think of in your head?,A,C,C,C,corroborated,ProvidingEvidence,"The teacher is asking Hunter to explain his thought process when comparing numbers, which requires reasoning about his understanding.","Teacher probes what mental representation or concept Hunter associates with 'how much more,' requiring a model of the student's conceptual thinking about comparison."
199,"Shane, what does SS these equals?",A,C,A,A,reverted,MakingClaim,"The teacher is asking Shane to clarify his statement, which requires reasoning about his understanding.","Teacher asks Shane to state what the expression equals, a factual question requesting the answer Shane claimed to know."
