"id","utterance","context","rule_based","llm","llm_reason","next_student_move","rb_num","llm_num"
"0","Peyton, share your thinking.","[T]: Anna, share your thinking and I want to see active listening thumb.
[T]: Okay, I'll put you back in my pile.","A","C","The teacher is asking another student to share their thinking, which requires considering what the student might say.","MakingClaim","0","2"
"1","What part of a whole fruit bar will he give to his brother?","[T]: Our problem is Larry has half of a fruit bar.
[T]: He wants to give half of what he has to his brother.","A","A","The teacher is asking for a specific part of a whole, which is a factual question about fractions.","","0","0"
"2","Mikel, will you go up and show us how you got your answer, please?","[T]: Go.
[T]: [background conversation] Hey, back to me please, thank, you.","B","B","The teacher asks the student to demonstrate their procedure, focusing on what they did.","ProvidingEvidence","1","1"
"3","What does it do?","[T]: What is a decimal point or more importantly, what does a decimal point do?
[T]: I've talked about this in at least 10 lessons so far this year, easy.","A","A","The teacher is asking for a factual definition of a decimal point's function.","MakingClaim","0","0"
"4","29, where does that one get stacked in?","[T]: So that was really nice.
[T]: Yes, I'm glad that you came up and explained that to me.","A","A","The teacher is asking where a number should be placed, which is a factual question about ordering.","","0","0"
"5","Carter, where have you heard that break apart decomposing before?","[T]: Yes, so-- Oh, you're writing this.
[T]: I would love to hear your connection after you write this.","A","C","The teacher is asking the student to recall prior knowledge, which requires considering the student's past experiences.","MakingClaim","0","2"
"6","When you look at these, what's different?","[T]: What's different between the one that I cut and the one I didn't?
[T]: What's different between these?","A","A","The teacher is asking for a comparison, which is a factual observation question.","None","0","0"
"7","How many cakes that are 30 yen cheaper do you need to buy in order to make up the 210 yen shortage?","[T]: Then 30 yen is going to be saved.
[T]: With each, 30 yen is going to be saved.","A","A","The teacher is asking for a calculation based on given information, which is a factual question.","","0","0"
"8","What does 'represent' mean?","[T]: Okay, we have nothing highlighted there, so there isn't anything new.
[T]: But I would like you guys to remind yourselves and remind the people at your tables what it means to represent.","A","A","The teacher is asking for a definition, which is a factual question about the meaning of a term.","","0","0"
"9","Tell me what you just did again.","[T]: Hmm.
[T]: Show- explain that to me again.","B","B","The teacher is asking the student to repeat their procedure, focusing on what they did.","MakingClaim","1","1"
"10","Would anybody like to share their answer and explain?","[Ms. Gibson]: All right, show me.
[Ms. Gibson]: Okay.","B","C","The teacher is inviting students to share and explain their answers, which involves understanding their reasoning.","None","1","2"
"11","Then you are going to discuss at your table group what a good graph would be, what would a line plot be?","[T]: Where is your table [unintelligible 00:11:47]?
[T]: What I am going to have you do, is, I'm going to have you go by table groups to look at the data that is up there.","A","C","The teacher is asking students to discuss and evaluate what makes a good graph, which involves reasoning about data representation.","","0","2"
"12","How can I check that using what you have there?","[T]: How can I check that one?
[T]: Can you tell me how I can check that to see if it comes out to the 19 fourths?","A","B","The teacher is asking how to verify a result using the student's work, focusing on the procedure.","ProvidingEvidence","0","1"
"13","What's the right answer?","[S]: Three.
[T]: I hear half and three sixth.","A","A","The teacher is asking for a factual answer to a math problem.","MakingClaim","0","0"
"14","What is your strategy that you're using here, Anna?","[T]: We do not do this freehand.
[T]: Great strategy.","B","B","The teacher is asking the student to describe their strategy, focusing on their procedure.","MakingClaim","1","1"
"15","How well could you rearrange these using the same denominator?","[T]: [background conversation] Okay, back to me.
[T]: Thank you.","A","C","The teacher is asking about the ability to rearrange fractions, which involves understanding the concept of common denominators.","","0","2"
"16","How many dollars is that?","[S]: I don't get allowance.
[T]: My first question for you today says, a sticker costs 75 cents.","A","A","The teacher is asking for a conversion from cents to dollars, which is a factual calculation.","None","0","0"
"17","15. factor pairs for 15 Harper.","[T]: All right.
[T]: And last, but certainly not least, we have 15.","A","A","The teacher is asking for factor pairs, which is a factual question about multiplication.","MakingClaim","0","0"
"18","Mr Asher which one is larger?","[T]: Already has a common denominator.
[T]: Let's go and do number two.","A","A","The teacher is asking for a comparison of sizes, which is a factual question.","MakingClaim","0","0"
